"Time","Sound pressure level"
1.398831960E2,-4.366927365E1
1.399904400E2,-4.438719717E1
1.401032500E2,-4.501521492E1
1.402070020E2,-4.814515246E1
1.403199080E2,-4.850178489E1
1.404238110E2,-4.822839668E1
1.405368110E2,-4.863598408E1
1.406406670E2,-4.864815100E1
1.407534800E2,-4.231707996E1
1.408573810E2,-4.517470118E1
1.409610320E2,-4.517470118E1
1.410725000E2,-3.894871988E1
1.411767581E2,-4.645144601E1
1.412892540E2,-4.115564750E1
1.414055860E2,-3.987208574E1
1.415146550E2,-4.655632569E1
1.416243740E2,-4.808348933E1
1.417294080E2,-4.724644701E1
1.418411810E2,-3.936315782E1
1.419539920E2,-4.094840324E1
1.420655400E2,-4.149008650E1
1.421746680E2,-4.618481366E1
1.422877170E2,-4.344629652E1
1.423915809E2,-4.298350910E1
1.425044800E2,-4.563431222E1
1.426081131E2,-4.718651334E1
1.427194260E2,-4.433812889E1
1.428249900E2,-3.904428586E1
1.429378639E2,-4.605157050E1
1.430417449E2,-4.866314211E1
1.431545449E2,-4.709516638E1
1.432585410E2,-4.400139665E1
1.433705699E2,-4.673390839E1
1.434752750E2,-4.929771016E1
1.435872030E2,-4.031178385E1
1.436929690E2,-4.166155190E1
1.438058400E2,-4.689121932E1
1.439096880E2,-4.709587638E1
1.440225739E2,-4.979462661E1
1.441263570E2,-4.819763632E1
1.442336740E2,-4.016003727E1
1.443430080E2,-4.742907328E1
1.444558870E2,-4.526759315E1
1.445628400E2,-4.695741488E1
1.446725760E2,-4.832393537E1
1.447759759E2,-4.869470114E1
1.448888940E2,-4.156834729E1
1.449928941E2,-4.650934179E1
1.451057020E2,-4.352145235E1
1.452113650E2,-4.526103388E1
1.453224970E2,-4.834565701E1
1.454280130E2,-4.267194312E1
1.455392530E2,-4.795555981E1
1.456447910E2,-4.939772667E1
1.457560930E2,-4.515023548E1
1.458613499E2,-4.869472891E1
1.459725720E2,-4.956748052E1
1.460780560E2,-4.848863811E1
1.461892639E2,-4.113012963E1
1.462947600E2,-4.387761595E1
1.464059330E2,-4.951652310E1
1.465113000E2,-4.891507666E1
1.466226000E2,-4.242519387E1
1.467303140E2,-4.341439847E1
1.468392611E2,-4.727744399E1
1.469470360E2,-4.722027420E1
1.470555151E2,-4.626414883E1
1.471665690E2,-4.810505154E1
1.472771960E2,-3.979080041E1
1.473831650E2,-4.841678063E1
1.474939851E2,-4.944928573E1
1.475999010E2,-4.272377919E1
1.477107280E2,-3.916340566E1
1.478165900E2,-3.805529155E1
1.479275171E2,-4.851276437E1
1.480331630E2,-4.042940349E1
1.481443170E2,-4.845100715E1
1.482487700E2,-4.872533857E1
1.483651030E2,-3.896075640E1
1.484777600E2,-4.233694657E1
1.485821570E2,-3.591610507E1
1.486945530E2,-4.057914741E1
1.487990470E2,-3.883119377E1
1.489113140E2,-4.458062559E1
1.490225760E2,-4.889195872E1
1.491279690E2,-4.772938751E1
1.492392690E2,-4.321728050E1
1.493449290E2,-4.770389337E1
1.494558980E2,-4.540254525E1
1.495654171E2,-4.847590731E1
1.496783510E2,-4.361745006E1
1.497892640E2,-4.939714058E1
1.498951240E2,-4.926498008E1
1.500060010E2,-4.835070738E1
1.501119330E2,-4.826613713E1
1.502225890E2,-4.370834667E1
1.503287621E2,-4.135887689E1
1.504392830E2,-4.107521262E1
1.505454340E2,-4.219976992E1
1.506559891E2,-4.963894196E1
1.507659060E2,-4.916501133E1
1.508725830E2,-4.178519750E1
1.509789840E2,-3.884254544E1
1.510892590E2,-4.547734722E1
1.511958660E2,-4.261626414E1
1.513059599E2,-4.343501653E1
1.514125550E2,-4.416169806E1
1.515225910E2,-4.672994595E1
1.516293190E2,-4.169297249E1
1.517392550E2,-4.544141354E1
1.518462030E2,-4.681444665E1
1.519559031E2,-4.388074420E1
1.520653660E2,-4.279814801E1
1.521725889E2,-4.210502532E1
1.522796710E2,-4.693377305E1
1.523845530E2,-4.771070497E1
1.524964110E2,-4.787452170E1
1.526011760E2,-3.901877525E1
1.527131480E2,-4.692382556E1
1.528178210E2,-4.005535103E1
1.529299680E2,-3.876361882E1
1.530345130E2,-4.690797669E1
1.531467420E2,-4.356887152E1
1.532511510E2,-4.608032343E1
1.533673530E2,-4.317439596E1
1.534801300E2,-4.746324303E1
1.535844780E2,-4.097393804E1
1.536886410E2,-4.932303075E1
1.537972370E2,-4.864176867E1
1.539002090E2,-4.310219097E1
1.540054950E2,-4.050182480E1
1.541168400E2,-4.720975361E1
1.542289701E2,-4.596112823E1
1.543430340E2,-4.750211919E1
